DATE,IPB50001N
2000-01-01,93.1901
2000-02-01,93.9684
2000-03-01,95.6618
2000-04-01,94.3112
2000-05-01,94.6735
2000-06-01,97.7599
2000-07-01,93.1097
2000-08-01,96.7179
2000-09-01,97.1965
2000-10-01,96.3022
2000-11-01,95.1909
2000-12-01,94.7582
2001-01-01,93.5736
2001-02-01,93.7067
2001-03-01,94.6384
2001-04-01,91.4370
2001-05-01,92.2205
2001-06-01,94.4417
2001-07-01,90.0001
2001-08-01,93.5599
2001-09-01,92.7637
2001-10-01,91.6506
2001-11-01,90.0664
2001-12-01,89.6331
2002-01-01,90.0874
2002-02-01,90.7510
2002-03-01,92.2845
2002-04-01,91.3367
2002-05-01,91.8485
2002-06-01,95.6268
2002-07-01,90.9356
2002-08-01,95.1608
2002-09-01,95.0357
2002-10-01,93.8377
2002-11-01,92.8176
2002-12-01,91.9986
2003-01-01,92.5570
2003-02-01,93.7069
2003-03-01,94.4501
2003-04-01,91.7911
2003-05-01,92.4059
2003-06-01,95.2992
2003-07-01,91.1390
2003-08-01,95.5608
2003-09-01,95.7947
2003-10-01,94.8833
2003-11-01,94.4710
2003-12-01,93.9614
2004-01-01,93.7934
2004-02-01,95.5767
2004-03-01,95.9576
2004-04-01,94.1721
2004-05-01,95.6757
2004-06-01,97.8956
2004-07-01,94.7623
2004-08-01,98.3543
2004-09-01,97.7488
2004-10-01,97.9479
2004-11-01,96.9903
2004-12-01,97.3593
2005-01-01,97.6114
2005-02-01,98.7950
2005-03-01,99.3530
2005-04-01,98.5545
2005-05-01,98.8702
2005-06-01,102.2786
2005-07-01,98.4791
2005-08-01,102.0851
2005-09-01,99.6311
2005-10-01,99.7231
2005-11-01,99.4912
2005-12-01,100.0282
2006-01-01,99.3667
2006-02-01,100.1564
2006-03-01,101.5349
2006-04-01,99.5564
2006-05-01,101.0114
2006-06-01,104.4874
2006-07-01,101.3290
2006-08-01,104.8101
2006-09-01,103.7817
2006-10-01,102.4900
2006-11-01,101.2664
2006-12-01,102.2975
2007-01-01,101.1173
2007-02-01,102.6740
2007-03-01,103.8867
2007-04-01,102.8742
2007-05-01,103.9152
2007-06-01,107.0508
2007-07-01,103.7117
2007-08-01,107.1894
2007-09-01,106.7355
2007-10-01,104.9849
2007-11-01,104.4945
2007-12-01,104.5498
2008-01-01,103.7665
2008-02-01,103.6142
2008-03-01,104.0290
2008-04-01,102.5287
2008-05-01,102.2461
2008-06-01,105.0136
2008-07-01,102.1167
2008-08-01,102.8991
2008-09-01,97.7786
2008-10-01,97.3488
2008-11-01,95.2862
2008-12-01,93.1798
2009-01-01,90.5347
2009-02-01,89.7648
2009-03-01,88.8225
2009-04-01,86.3527
2009-05-01,86.5700
2009-06-01,88.8461
2009-07-01,88.1486
2009-08-01,91.2517
2009-09-01,90.5106
2009-10-01,89.9968
2009-11-01,89.6819
2009-12-01,90.4854
2010-01-01,91.3930
2010-02-01,91.4638
2010-03-01,92.6395
2010-04-01,91.5215
2010-05-01,93.3754
2010-06-01,96.3027
2010-07-01,94.5846
2010-08-01,97.2557
2010-09-01,96.1630
2010-10-01,95.0411
2010-11-01,94.1621
2010-12-01,95.6900
2011-01-01,95.5776
2011-02-01,94.7287
2011-03-01,96.4198
2011-04-01,94.5356
2011-05-01,95.3020
2011-06-01,98.2874
2011-07-01,97.1574
2011-08-01,99.6828
2011-09-01,98.5865
2011-10-01,98.2235
2011-11-01,97.5557
2011-12-01,98.5894
2012-01-01,98.9140
2012-02-01,99.1116
2012-03-01,99.2133
2012-04-01,98.3443
2012-05-01,99.1500
2012-06-01,101.7415
2012-07-01,100.2154
2012-08-01,101.9390
2012-09-01,100.8946
2012-10-01,100.0023
2012-11-01,99.9560
2012-12-01,100.5180
2013-01-01,100.5587
2013-02-01,100.8081
2013-03-01,101.4612
2013-04-01,100.5394
2013-05-01,100.7254
2013-06-01,103.4433
2013-07-01,101.5054
2013-08-01,104.2638
2013-09-01,103.6457
2013-10-01,102.5151
2013-11-01,102.3035
2013-12-01,102.6288
2014-01-01,102.4462
2014-02-01,103.1104
2014-03-01,104.5884
2014-04-01,103.3023
2014-05-01,104.0182
2014-06-01,106.9714
2014-07-01,105.1845
2014-08-01,107.6958
2014-09-01,106.8702
2014-10-01,105.8188
2014-11-01,106.0474
2014-12-01,105.8634
2015-01-01,105.3393
2015-02-01,105.0657
2015-03-01,105.0774
2015-04-01,102.8356
2015-05-01,103.0415
2015-06-01,105.5560
2015-07-01,104.2900
2015-08-01,106.6007
2015-09-01,104.4052
2015-10-01,103.4094
2015-11-01,102.1263
2015-12-01,101.4152
2016-01-01,102.5003
2016-02-01,101.8312
2016-03-01,100.9522
2016-04-01,100.4510
2016-05-01,100.4296
2016-06-01,103.7647
2016-07-01,102.0635
2016-08-01,104.3963
2016-09-01,102.9128
2016-10-01,102.2558
2016-11-01,101.2130
2016-12-01,102.2539
2017-01-01,102.0704
2017-02-01,101.6981
2017-03-01,102.8500
2017-04-01,101.3202
2017-05-01,102.6318
2017-06-01,105.5857
2017-07-01,103.7392
2017-08-01,105.3367
2017-09-01,104.0601
2017-10-01,104.9350
2017-11-01,104.7986
2017-12-01,105.4062
2018-01-01,105.3596
2018-02-01,105.6321
2018-03-01,106.5567
2018-04-01,106.1468
2018-05-01,105.7320
2018-06-01,109.2343
2018-07-01,108.0687
2018-08-01,111.1250
2018-09-01,109.9297
2018-10-01,108.8303
2018-11-01,108.8246
